iter	Passed	Remaining
1348	5534	1485
1349	5538	1480
1350	5541	1476
1351	5545	1472
1352	5549	1468
1353	5553	1464
1354	5557	1460
1355	5560	1455
1356	5564	1451
1357	5568	1447
1358	5572	1443
1359	5576	1439
1360	5580	1435
1361	5584	1430
1362	5588	1426
1363	5591	1422
1364	5595	1418
1365	5599	1414
1366	5603	1410
1367	5607	1405
1368	5611	1401
1369	5614	1397
1370	5618	1393
1371	5622	1389
1372	5626	1385
1373	5630	1381
1374	5634	1376
1375	5638	1372
1376	5642	1368
1377	5646	1364
1378	5650	1360
1379	5654	1356
1380	5658	1352
1381	5662	1348
1382	5666	1343
1383	5670	1339
1384	5674	1335
1385	5678	1331
1386	5681	1327
1387	5685	1323
1388	5689	1318
1389	5693	1314
1390	5697	1310
1391	5701	1306
1392	5705	1302
1393	5708	1298
1394	5712	1294
1395	5716	1289
1396	5720	1285
1397	5724	1281
1398	5728	1277
1399	5732	1273
1400	5736	1269
1401	5740	1265
1402	5744	1261
1403	5748	1257
1404	5752	1252
1405	5756	1248
1406	5760	1244
1407	5764	1240
1408	5768	1236
1409	5772	1232
1410	5776	1228
1411	5780	1224
1412	5784	1219
1413	5789	1215
1414	5792	1211
1415	5796	1207
1416	5800	1203
1417	5804	1199
1418	5808	1195
1419	5812	1191
1420	5816	1186
1421	5820	1182
1422	5824	1178
1423	5827	1174
1424	5831	1170
1425	5835	1166
1426	5839	1162
1427	5843	1158
1428	5847	1153
1429	5851	1149
1430	5854	1145
1431	5858	1141
1432	5862	1137
1433	5866	1133
1434	5870	1129
1435	5874	1124
1436	5878	1120
1437	5881	1116
1438	5885	1112
1439	5889	1108
1440	5893	1104
1441	5898	1100
1442	5902	1096
1443	5905	1092
1444	5910	1087
1445	5913	1083
1446	5917	1079
1447	5922	1075
1448	5927	1071
1449	5931	1067
1450	5936	1063
1451	5940	1059
1452	5944	1055
1453	5948	1051
1454	5952	1047
1455	5956	1043
1456	5961	1039
1457	5965	1035
1458	5969	1031
1459	5973	1026
1460	5977	1022
1461	5980	1018
1462	5984	1014
1463	5988	1010
1464	5992	1006
1465	5996	1002
1466	6000	998
1467	6004	993
1468	6008	989
1469	6012	985
1470	6016	981
1471	6020	977
1472	6024	973
1473	6028	969
1474	6032	965
1475	6036	961
1476	6040	956
1477	6044	952
1478	6048	948
1479	6051	944
1480	6055	940
1481	6059	936
1482	6063	932
1483	6067	928
1484	6071	924
1485	6075	919
1486	6079	915
1487	6083	911
1488	6087	907
1489	6091	903
1490	6095	899
1491	6099	895
1492	6103	891
1493	6107	887
1494	6110	882
1495	6114	878
1496	6118	874
1497	6122	870
1498	6126	866
1499	6129	862
1500	6133	858
1501	6137	854
1502	6141	849
1503	6145	845
1504	6148	841
1505	6152	837
1506	6157	833
1507	6161	829
1508	6164	825
1509	6168	821
1510	6172	817
1511	6176	812
1512	6180	808
1513	6184	804
1514	6188	800
1515	6192	796
1516	6196	792
1517	6200	788
1518	6203	784
1519	6207	780
1520	6211	775
1521	6215	771
1522	6219	767
1523	6223	763
1524	6227	759
1525	6231	755
1526	6235	751
1527	6239	747
1528	6243	743
1529	6247	739
1530	6250	734
1531	6254	730
1532	6258	726
1533	6262	722
1534	6266	718
1535	6270	714
1536	6274	710
1537	6278	706
1538	6282	702
1539	6285	697
1540	6289	693
1541	6293	689
1542	6297	685
1543	6301	681
1544	6304	677
1545	6308	673
1546	6312	669
1547	6316	665
1548	6320	661
1549	6324	656
1550	6328	652
1551	6332	648
1552	6335	644
1553	6339	640
1554	6343	636
1555	6347	632
1556	6351	628
1557	6355	624
1558	6359	620
1559	6363	615
1560	6367	611
1561	6371	607
1562	6375	603
1563	6379	599
1564	6382	595
1565	6386	591
1566	6390	587
1567	6394	583
1568	6398	579
1569	6402	574
1570	6406	570
1571	6410	566
1572	6414	562
1573	6417	558
1574	6421	554
1575	6425	550
1576	6430	546
1577	6434	542
1578	6438	538
1579	6441	534
1580	6446	530
1581	6450	525
1582	6454	521
1583	6457	517
1584	6462	513
1585	6466	509
1586	6470	505
1587	6473	501
1588	6478	497
1589	6482	493
1590	6485	489
1591	6489	485
1592	6493	481
1593	6497	476
1594	6501	472
1595	6505	468
1596	6508	464
1597	6513	460
1598	6516	456
1599	6520	452
1600	6524	448
1601	6529	444
1602	6533	440
1603	6537	436
1604	6540	431
1605	6544	427
1606	6548	423
1607	6552	419
1608	6556	415
1609	6560	411
1610	6564	407
1611	6568	403
1612	6572	399
1613	6576	395
1614	6580	391
1615	6584	387
1616	6588	383
1617	6592	378
1618	6596	374
1619	6600	370
1620	6604	366
1621	6608	362
1622	6612	358
1623	6616	354
1624	6620	350
1625	6624	346
1626	6628	342
1627	6632	338
1628	6635	334
1629	6639	329
1630	6643	325
1631	6647	321
1632	6651	317
1633	6655	313
1634	6659	309
1635	6663	305
1636	6667	301
1637	6671	297
1638	6674	293
1639	6678	289
1640	6682	285
1641	6686	280
1642	6689	276
1643	6693	272
1644	6697	268
1645	6701	264
1646	6705	260
1647	6709	256
1648	6713	252
1649	6717	248
1650	6721	244
1651	6725	240
1652	6729	236
1653	6733	232
1654	6737	227
1655	6741	223
1656	6745	219
1657	6749	215
1658	6753	211
1659	6757	207
1660	6760	203
1661	6764	199
1662	6768	195
1663	6772	191
1664	6776	187
1665	6780	183
1666	6783	179
1667	6787	174
1668	6791	170
1669	6795	166
1670	6800	162
1671	6804	158
1672	6808	154
1673	6811	150
1674	6815	146
1675	6819	142
1676	6823	138
1677	6827	134
1678	6830	130
1679	6853	126
1680	6861	122
1681	6866	118
1682	6872	114
1683	6878	110
1684	6883	106
1685	6889	102
1686	6894	98
1687	6899	94
1688	6904	89
1689	6908	85
1690	6912	81
1691	6917	77
1692	6921	73
1693	6925	69
1694	6929	65
1695	6933	61
1696	6937	57
1697	6941	53
1698	6944	49
1699	6948	44
1700	6952	40
1701	6956	36
1702	6960	32
1703	6964	28
1704	6968	24
1705	6972	20
1706	6975	16
1707	6979	12
1708	6984	8
1709	6988	4
1710	6992	0
